ref_id,code,player,event_name,event_type,event_date,round,opp_first,opp_last,score,level,year,sofa_status,sofa_id,sofa_ts,sofa_tournament,sofa_category,sofa_round,sofa_opponent,name_score,round_agree,place_agree,days_outside_window,first_to_serve,final_result_only,event_state,pbp_marker
CH12:atp:2015/321/qs022:KB43,CH12,Jan Choinski,Stuttgart,250,2015-06-08,Q1,Robin,Kern,6-0 4-0,Tour qualifying,2015,linked,6758366,1433590200.0,"Stuttgart, Germany, Qualifying",ATP,Qualification,Robin Kern,3.0,1.0,1.0,0.0,absent,false,finished,False
CH12:atp:2015/795/ms009:W586,CH12,Jan Choinski,Netherlands F1,FU,2015-06-15,R16,Jean-Marc,Werner,4-6 6-2 2-6,ITF main draw,2015,linked,6770016,1434629700.0,"Netherlands F1, Singles",ITF Men,absent,Jean-Marc Werner,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2015/795/ms018:VA27,CH12,Jan Choinski,Netherlands F1,FU,2015-06-15,R32,Mick,Veldheer,6-0 6-4,ITF main draw,2015,linked,6767661,1434531600.0,"Netherlands F1, Singles",ITF Men,absent,Mick Veldheer,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/4066/ms004:N661,CH12,Jan Choinski,Belgium F3,FU,2015-06-22,QF,Marvin,Netuschil,4-6 4-6,ITF main draw,2015,linked,6781314,1435237200.0,"Belgium F3, Singles",ITF Men,absent,Marvin Netuschil,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/4066/ms009:DH45,CH12,Jan Choinski,Belgium F3,FU,2015-06-22,R16,Nicolas,De Plaen,6-2 6-1,ITF main draw,2015,linked,6779216,1435132800.0,"Belgium F3, Singles",ITF Men,absent,N. De Plaen,1.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/4066/ms019:MN85,CH12,Jan Choinski,Belgium F3,FU,2015-06-22,R32,Tristan,Meraut,6-2 6-2,ITF main draw,2015,linked,6777266,1435046400.0,"Belgium F3, Singles",ITF Men,absent,Tristan Meraut,3.0,0.0,1.0,0.0,1,false,finished,True
CH12:atp:2015/6156/ms023:CA33,CH12,Jan Choinski,Marburg,CH,2015-06-29,R32,Inigo,Cervantes,3-6 4-6,Challenger main draw,2015,linked,6785632,1435654800.0,"Marburg, Germany",Challenger,1/16-finals (R32),Inigo Cervantes,3.0,0.0,1.0,0.0,absent,false,finished,False
CH12:atp:2015/572/ms012:Z349,CH12,Jan Choinski,Germany F7,FU,2015-07-13,R16,Anton,Zaitcev,6-3 3-6 2-6,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/572/ms025:PL54,CH12,Jan Choinski,Germany F7,FU,2015-07-13,R32,Bjoern,Petersen,6-4 6-4,ITF main draw,2015,linked,6807956,1436950800.0,"Germany F7, Singles",ITF Men,absent,Bjoern Petersen,3.0,0.0,1.0,0.0,2,false,finished,True
CH12:atp:2015/551/ms001:N663,CH12,Jan Choinski,Germany F8,FU,2015-07-20,F,Maximilian,Neuchrist,7-6(5) 4-6 3-6,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/551/ms002:F591,CH12,Jan Choinski,Germany F8,FU,2015-07-20,SF,Matteo,Fago,6-2 6-1,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/551/ms004:V691,CH12,Jan Choinski,Germany F8,FU,2015-07-20,QF,George,Von Massow,6-4 6-1,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/551/ms009:O456,CH12,Jan Choinski,Germany F8,FU,2015-07-20,R16,Julian,Onken,7-6(0) 6-2,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/551/ms019:PB97,CH12,Jan Choinski,Germany F8,FU,2015-07-20,R32,Andrei,Plotniy,6-2 6-1,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/488/ms013:V691,CH12,Jan Choinski,Germany F9,FU,2015-07-27,R16,George,Von Massow,3-6 5-7,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/488/ms027:DB61,CH12,Jan Choinski,Germany F9,FU,2015-07-27,R32,Pavle,Daljev,6-2 6-1,ITF main draw,2015,unobserved,,,,,,,,,,,,,,False
CH12:atp:2015/205/ms001:DA31,CH12,Jan Choinski,Germany F10,FU,2015-08-03,F,Hugo,Dellien,3-6 3-6,ITF main draw,2015,linked,6849304,1439039700.0,"Germany F10, Singles",ITF Men,Final,Hugo Dellien,3.0,2.0,1.0,0.0,absent,false,finished,False
CH12:atp:2015/205/ms003:L996,CH12,Jan Choinski,Germany F10,FU,2015-08-03,SF,Juan,Lizariturry,4-6 6-4 6-0,ITF main draw,2015,linked,6848246,1438945200.0,"Germany F10, Singles",ITF Men,Semifinals,Juan Lizariturry,3.0,2.0,1.0,0.0,2,false,finished,True
