code,source,source_file,source_row,date,date_kind,event_name,tourney_id,tourney_level,round,opp_name,opp_id,won,score,id_matches,name_matches,second_record,has_box,stat_fields,has_minutes,svpt_w,svpt_l,has_odds,lta_match_id,score_states,chart_id,slam,has_points,market_id,has_prices,ref_id,link,gap_days,date_disagrees,opp_disagrees,elsewhere,player
W09E,sackmann,atp_matches_qual_chall_2024.csv,757,2024-06-24,tournament week,Mallorca,2024-8994,A,Q1,David Jorda Sanchis,122554,True,7-6(3) 6-3,True,True,False,True,18.0,True,68,64,,,,,,,,,W09E:atp:2024/8994/qs014:J476,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,936,2024-07-22,tournament week,Atlanta,2024-6116,A,Q1,Shintaro Mochizuki,208278,True,6-4 6-2,True,True,False,True,18.0,False,51,56,,,,,,,,,W09E:atp:2024/6116/qs010:M0HU,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,1214,2024-10-02,tournament week,Shanghai Masters,2024-5014,M,Q1,Maks Kasnikowski,209874,True,6-1 7-6(8),True,True,False,True,18.0,True,60,54,,,,,,,,,W09E:atp:2024/5014/qs036:K0HC,linked,2.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2090,2024-01-29,tournament week,Burnie CH,2024-5018,C,R32,Matt Hulme,210705,True,7-6(3) 6-4,True,True,False,True,18.0,True,69,78,,,,,,,,,,official record unread,,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2254,2024-02-05,tournament week,Burnie 2 CH,2024-7203,C,F,Dane Sweeny,208013,True,6-2 7-6(4),True,True,False,True,18.0,True,68,68,,,,,,,,,W09E:atp:2024/7203/ms001:S0IA,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2255,2024-02-05,tournament week,Burnie 2 CH,2024-7203,C,SF,Tristan Schoolkate,209262,True,6-4 6-4,True,True,False,True,18.0,True,56,61,,,,,,,,,W09E:atp:2024/7203/ms002:S0N0,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2257,2024-02-05,tournament week,Burnie 2 CH,2024-7203,C,QF,Philip Sekulic,210340,True,6-2 1-6 7-6(2),True,True,False,True,18.0,True,81,94,,,,,,,,,W09E:atp:2024/7203/ms004:S0TI,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2261,2024-02-05,tournament week,Burnie 2 CH,2024-7203,C,R16,Andre Ilagan,210318,True,6-2 6-7(3) 6-3,True,True,False,True,18.0,True,113,88,,,,,,,,,W09E:atp:2024/7203/ms008:I0B0,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2269,2024-02-05,tournament week,Burnie 2 CH,2024-7203,C,R32,Jacob Bradshaw,210553,True,7-5 6-3,True,True,False,True,18.0,True,63,61,,,,,,,,,W09E:atp:2024/7203/ms016:B0OT,linked,0.0,False,False,,Adam Walton
W09E,sackmann,atp_matches_qual_chall_2024.csv,2412,2024-02-12,tournament week,Bengaluru CH,2024-7808,C,R16,Gauthier Onclin,206904,True,6-2 6-2,True,True,False,True,18.0,True,53,43,,,,,,,,,W09E:atp:2024/7808/ms014:O0A2,linked,0.0,False,False,,Adam Walton
